ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
ID;sex;varsta;mediu;judet;frecventa_privit_tv;ultima_forma_invatamant;stare_civila;cu_copii;nr_copii;persoane_intretinere;ocupatie;venit_net;atractie_reclama;masura_potrivire_serviciu;voi_contracta_serviciile;cum_consideri_pretul_1;cum_consideri_pretul_2;masura_recomandare_serviciu_folosit;doresti_schimbare_furnizor;consideri_servicii_tv_online;motiv_nu_te_uiti_la_tv;;;;;;;;;;;;;;;;;;;
1;Barbat;31;Urban;BUCURESTI;Zilnic;;;;;;;;;;; ; ;;;;;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;Vechimea pe piata;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);Other;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);Nu avem niciun fel de televiziune
2;Barbat;37;Urban;PRAHOVA;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;3;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Ieftin;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;Televiziune prin satelit;;;
3;Barbat;45;Rural;ARAD;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Muncitor calificat;Refuz sa raspund;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Scump;Prea scump;8;Cu siguranta il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
4;Barbat;42;Urban;GALATI;Zilnic;Gimnaziu (8 clase);Divortat/a / Separat/a;Da;1 copil;4;Muncitor calificat;Refuz sa raspund;Asa si-asa;Nu mi se potriveste deloc;Cu siguranta da;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
5;Barbat;44;Urban;PRAHOVA;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Nu prea mi se potriveste;Poate da, poate nu;Acceptabil;Scump;7;Probabil il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Reclamele;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
6;Femeie;32;Urban;PRAHOVA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
7;Barbat;43;Urban;BUCURESTI;De 2-3 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Nu lucrez;1.001 - 1.700 lei;Nu-mi place deloc;Asa si-asa;Probabil da;Prea scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
8;Barbat;33;Urban;MURES;De 4-5 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Inginer, economist, doctor, professor;1.001 - 1.700 lei;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
9;Barbat;32;Urban;BOTOSANI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;2;Muncitor calificat;5.001 - 6.500 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Acceptabil;6;Cu siguranta il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
